呋塞米注射液,★呋塞米注射液,速尿注射液,★注射用呋塞米,★速尿注射液,呋塞米注射液,注射用呋塞米,速尿,速尿注射液(输完白蛋白后立即）,★呋塞米注射,速尿注射液10mg/H,★呋塞米注射液（15：00）,5★呋塞米注射液,速尿注射,速尿注射液（2ml/h）,98速尿注射液,速尿针,★呋塞米注射液（输蛋白后30分）,\★呋塞米注射液,呋塞米注射液（输血后30分钟）,速尿注射液(滴完白旦白1小时后给）,★呋塞米注射液（白蛋白液末）,★呋塞米注液,速尿注射液(输完白蛋白后0.5h),注射液呋塞米,速尿注射液(输液完),,,,,,,,,,,,
呋塞米片,★呋塞米片,速尿片,★速尿片,呋塞米片,速尿片(双日）,速尿片(单日),速尿片（双日）,速尿片      （单日）,速尿片(双日),速尿片（单日）,★呋塞米片（周二、周五）,速尿片       （双日）,速尿片(单),速尿片 (单日),速尿片（单摆）,★呋塞米片（双日),速尿片(单摆）,速尿片(下午）,停速尿片,"速尿片(2,5)",20★速尿片,,,,,,,,,,,,,,,,
托拉塞米注射液,注射用托拉塞米(南京海辰),托拉塞米注射液(南京优科),托拉塞米注射液(浙诚意),托拉塞米注射液,特苏尼注射液,托拉塞米注射液(南京新港),注射用托拉塞米,特苏尼注射液(特批),托拉塞米注射液（浙诚意）,注射用托拉塞米（南京海辰）,托拉塞米注射液（特批）,特苏尼注射液(特批）,托拉塞米注射液(南京海辰),托拉塞米注射液（南京优科）,注射用托拉塞米(南京优科),托拉塞米注射液(特批),特苏尼注射液（特批）,托拉塞米（南京优科）,注射液托拉塞米,托拉塞米注射液(特批）,注射用托拉塞米（南京还辰）,拖拉塞米注射液,,,,,,,,,,,,,,,
托拉塞米片,托拉塞米片,托拉塞米胶囊,托拉塞米,伊迈格片,托拉噻米片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布美他尼注射,★布美他尼注射液,布美他尼注射液,利了注射液,利了,0布美他尼注射液,★布美他尼注射,1布美他尼注射液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布美他尼片,布美他尼片,利了片,布美他尼胶囊,布美他尼片（单日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胺碘酮,盐酸胺碘酮注射液,盐酸胺碘酮片(杭州赛诺菲),可达龙注射液,可达龙片,盐酸胺碘酮片,盐酸胺碘酮胶囊,盐酸乙胺碘酮注射液,盐酸胺碘酮片(渝科瑞),盐酸乙胺碘酮片,盐酸乙胺碘酮,胺碘酮血药浓度测定,胺碘酮,胺碘酮注射液,胺碘酮片,盐酸胺碘酮片（单日）, 盐酸胺碘酮注射液,"盐酸胺碘酮片(1,2,3,5,7)", 可达龙注射液,]盐酸胺碘酮注射液,盐酸胺碘酮片(自备）,,,,,,,,,,,,,,,,,
v2受体拮抗剂,托伐普坦,托伐普坦片,托伐普坦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噻嗪类,氢氯噻嗪,★氢氯噻嗪片,氢氯噻嗪片,双氢克尿噻,★氢氯噻嗪片(双日),氢氯噻嗪片(双日）,★氢氯噻嗪片(单日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噻嗪类,吲达帕胺片,寿比山片,★吲达帕胺片(京康蒂尼),寿比山,吲达帕胺片(京康蒂尼),吲达帕胺片,★吲达帕胺片,寿比山片（单）,寿比山片(单）,★吲达帕胺片(京康蒂尼)(单日）,寿比山片(单日）,寿比山片（双）,吲达帕胺片(京康蒂尼)(双日）,寿比山片(双）,★吲达帕胺片(天津力生),吲达帕胺,寿比山片(周一、四）,,,,,,,,,,,,,,,,,,,,
噻嗪类,吲达帕胺缓释片,★吲达帕胺缓释片(施维雅-FR),吲达帕胺缓释片(施维雅-FR),纳催离片,吲达帕胺缓释片,★吲达帕胺缓释片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保钾利尿剂,氨苯蝶啶,氨苯蝶啶片,★氨苯蝶啶片,氨苯蝶啶片（双）,氨苯蝶啶片(自备）,氨苯蝶啶片（双日）,氨苯蝶啶片(双),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
